Race and Hispanic origin of householder,Year,Number in thousands,Total,"Under $15,000","15,000 to 24,999","25,000 to 34,999","35,000 to 49,999","50,000 to 74,999","75,000 to 99,999","100,000 to 149,999","150,000 to 199,999","$200,000 and over",Median Estimate,Margin of error,Mean Estimate,Margin of error
,1987,"91,124",100,10.8,9.5,9.3,12.9,18.7,14.3,15.2,5.3,3.9,"59,624",463,"74,149",501
,1986,"89,479",100,11.1,9.6,9.1,13.5,18.7,14.4,14.8,5.1,3.7,"58,920",502,"72,793",487
,1985,"88,458",100,11.1,10,9.6,13.7,19.5,14,14.3,4.6,3.2,"56,871",507,"69,990",456
,1984,"86,789",100,11.1,10.5,9.8,13.9,19.6,13.7,14,4.5,3,"55,828",418,"68,403",414
,1983,"85,407",100,11.4,10.4,10.3,14.1,19.7,14,13.3,4,2.6,"54,182",405,"65,897",405
,1982,"83,918",100,11.7,10.5,10.1,14,20.4,13.9,13.1,3.8,2.6,"54,564",405,"65,758",400
,1981,"83,527",100,11.5,10.3,10.7,13.8,20,14.3,13.4,3.8,2.2,"54,713",472,"65,363",392
,1980,"82,368",100,11,10.4,10.2,13.7,20.2,15,13.4,4,2.2,"55,596",470,"66,122",398
,1979,"80,776",100,10.8,9.9,9.6,13.7,20.1,15.3,13.9,4.1,2.6,"57,462",448,"68,259",425
,1978,"77,330",100,10.5,10.3,9.7,13.7,20.1,15.5,13.9,3.9,2.4,"57,572",384,"67,761",428
,1977,"76,030",100,10.8,11,9.7,13.9,20.6,14.9,13.5,3.3,2.2,"55,427",343,"65,751",329
,1976,"74,142",100,11,10.6,10.1,13.9,21.2,15.3,12.7,3.2,2,"55,078",336,"64,786",329
,1975,"72,867",100,11.2,10.9,10,14.2,21.7,14.8,12.4,2.9,1.8,"54,180",363,"63,266",325
,1974,"71,163",100,10.8,10.2,9.7,14.4,21.7,15.3,12.5,3.3,2,"55,636",351,"65,062",335
,1973,"69,859",100,10.7,10.4,9.1,13.4,21.5,15.7,13.4,3.6,2.3,"57,456",360,"66,447",333
,1972,"68,251",100,11.4,10,9.6,13.7,21.8,15.6,12.5,3.3,2.2,"56,319",353,"65,548",334
,1971,"66,676",100,12.4,9.7,9.8,14.7,23.2,14.6,11.3,2.8,1.6,"54,006",344,"62,111",325
,1970,"64,778",100,12.4,9.6,9.4,14.5,23.5,14.9,11.3,2.8,1.7,"54,536",329,"62,448",329
,1969,"63,401",100,12.3,9.3,9.2,14.6,23.8,15.5,11.1,2.7,1.6,"54,962",334,"62,530",323
,1968,"62,214",100,12.5,9.7,9.6,15.5,24.3,14.9,9.9,2.2,1.3,"52,992",315,"59,953",315
,1967,"60,813",100,13.8,10,9,17.1,24.6,13.3,8.7,2.1,1.4,"50,803",304,"56,820",304
WHITE ALONE,2021,"102,057",100,8.2,7.6,7.6,10.8,16.2,12.3,16.6,8.6,12.1,"74,262",912,"105,804","1,183"
,2020,"100,931",100,7.5,7.7,7.9,10.9,16.1,12.7,16.5,8.8,11.8,"74,978",771,"105,209","1,250"
,2019,"100,568",100,7.2,7.1,7.5,11.1,16.3,12.5,17,9.1,12.2,"76,519",848,"107,812","1,264"
,2018,"100,528",100,7.8,7.8,8.1,11.3,16.6,13.3,16.4,8.3,10.4,"72,229",697,"101,366","1,115"
,2017,"100,113",100,8,8.1,8.3,11.6,16,13,16,8.2,10.8,"71,658",931,"101,153","1,167"
,2017,"100,065",100,8,8.3,8.3,11.5,15.8,13.1,16.2,8.5,10.3,"72,144",756,"99,067","1,095"
,2016,"99,400",100,8.3,8,8.4,11.7,16.8,12.5,16.5,8.2,9.7,"69,840",620,"97,485",992
,2015,"99,313",100,8.1,8.8,9.2,11.7,16.2,12.5,16.6,7.9,8.9,"68,740",717,"94,033",884
,2014,"98,679",100,9.2,9.3,9.2,11.9,16.8,12.4,15.5,7.5,8.4,"65,144",669,"90,374",986
,2013,"98,807",100,9,9.6,9,11.6,16.6,13,15.2,7.5,8.5,"66,106",991,"90,663","1,453"
,2013,"97,774",100,8.8,9.6,9.2,12,17.1,13.5,14.9,7.4,7.4,"64,372",814,"88,350","1,043"
,2012,"97,705",100,8.7,9.9,9.1,12.8,16.7,13,15.3,7.2,7.4,"63,492",747,"87,976",902
,2011,"96,964",100,8.9,9.3,9,13.2,17.3,12.7,15.1,7.2,7.4,"63,036",447,"87,903",838
,2010,"96,306",100,8.8,9.8,8.8,12.8,16.9,12.6,15.8,7.3,7.3,"64,394",518,"87,685",830
,2009,"95,489",100,7.8,9,9.4,12.3,17.3,13.2,16,7.5,7.5,"65,649",321,"89,299",566
,2008,"95,297",100,7.9,9,9.2,12.2,16.8,13.4,16.4,7.5,7.5,"65,990",315,"89,805",569
,2007,"95,112",100,7.5,9,8.7,11.8,17.2,13.1,16.6,8,8,"68,266",332,"92,128",577
,2006,"94,705",100,7.6,8.5,8.6,12.6,17.4,13,16.6,7.5,8.2,"68,260",326,"93,091",638
,2005,"93,588",100,7.8,8.5,9.2,12.1,17.2,13.3,16.6,7.4,7.9,"67,525",485,"91,735",625
,2004,"92,880",100,8,8.9,8.9,12.1,17.5,13,16.5,7.5,7.6,"67,087",433,"90,453",613
,2003,"91,962",100,8,8.8,8.6,12.3,17.4,12.8,16.8,7.6,7.6,"67,383",435,"90,945",600
,2002,"91,645",100,7.7,9.1,8.5,12.3,16.7,13.8,16.8,7.8,7.3,"68,090",455,"90,864",609
"WHITE ALONE, NOT HISPANIC",2021,"85,078",100,7.6,7.5,7.2,10.2,15.7,12.3,17,9.2,13.3,"77,999","1,080","110,758","1,388"
,2020,"84,712",100,7.1,7.4,7.5,10.3,15.7,12.7,17,9.4,12.9,"78,912",889,"110,284","1,451"
,2019,"84,868",100,6.8,6.9,7,10.7,15.7,12.5,17.6,9.6,13.3,"80,602",928,"113,033","1,440"
,2018,"84,727",100,7.3,7.4,7.6,10.7,16.3,13.3,17.1,8.8,11.5,"76,220",703,"106,020","1,262"
,2017,"84,706",100,7.5,7.8,7.9,11.1,15.6,13.1,16.5,8.8,11.8,"75,367","1,225","105,839","1,284"
,2017,"84,681",100,7.5,8,7.9,11,15.4,13.1,16.7,9,11.3,"75,318","1,160","103,290","1,202"
,2016,"84,387",100,7.8,7.6,8,11.1,16.6,12.4,17.1,8.7,10.6,"73,433",947,"101,339","1,131"
,2015,"84,445",100,7.5,8.5,8.6,11.3,15.9,12.7,17.5,8.5,9.6,"71,989","1,020","97,875",999
,2014,"84,228",100,8.6,8.9,8.6,11.4,16.5,12.6,16.1,8.1,9.2,"69,027",693,"94,469","1,091"
,2013,"84,432",100,8.4,9,8.3,11,16.7,13.5,15.9,8,9.3,"70,281","1,021","94,628","1,625"
,2013,"83,641",100,8.1,9.2,8.6,11.6,17,13.8,15.5,8,8.2,"67,882","1,173","92,428","1,209"
,2012,"83,792",100,7.9,9.4,8.7,12.2,16.6,13.4,16,7.8,8.1,"67,397",698,"92,028","1,002"
,2011,"83,573",100,8.1,9,8.6,12.6,17.1,13,15.8,7.7,8.1,"66,897",651,"91,828",949
,2010,"83,314",100,8.1,9.4,8.3,12.3,16.7,12.9,16.6,7.8,8,"67,820",914,"91,323",942
,2009,"83,158",100,7.3,8.5,8.9,11.8,17.3,13.4,16.7,8,8.1,"68,940",581,"92,712",623
,2008,"82,884",100,7.3,8.6,8.8,11.6,16.6,13.6,17.1,8,8.2,"70,049",467,"93,477",629
,2007,"82,765",100,7,8.7,8.3,11.2,17,13.2,17.3,8.6,8.7,"71,941",532,"95,862",636
,2006,"82,675",100,7.1,8.2,8.2,12.1,17.1,13.2,17.2,8,8.9,"70,617",417,"96,645",702
,2005,"82,003",100,7.4,8.3,8.6,11.7,16.9,13.5,17.3,7.9,8.5,"70,627",393,"95,408",693
,2004,"81,628",100,7.5,8.6,8.4,11.7,17.1,13.2,17.3,7.9,8.2,"70,325",530,"93,830",672
,2003,"81,148",100,7.5,8.5,8.2,11.7,17.2,13,17.5,8.2,8.2,"70,552",561,"94,341",658
,2002,"81,166",100,7.3,8.8,8.1,11.8,16.5,14,17.4,8.3,7.9,"70,829",457,"93,807",656
BLACK ALONE OR IN COMBINATION,2021,"18,698",100,15.7,11.5,10,13.5,16.9,10.4,11.6,4.7,5.7,"48,815","1,663","71,528","1,879"
,2020,"18,287",100,16.5,11.2,10.4,12.6,17.3,10.4,11.8,4.5,5.4,"48,936","1,319","72,130","1,928"
,2019,"18,055",100,15.9,10.7,11.5,12.9,16.9,10,11.6,5,5.5,"48,827","1,217","71,983","2,034"
,2018,"18,095",100,17.7,11.8,11.1,13.8,16.3,10.3,10.2,4.7,4,"44,984",989,"64,050","1,439"
,2017,"17,813",100,17.5,12.4,11.1,14.2,15.3,10.5,10.7,4,4.1,"44,197","1,249","64,522","1,442"
,2017,"17,801",100,17.7,12,10.8,14.4,15.1,11.1,10.7,4.1,4.1,"44,867",911,"65,194","1,453"
,2016,"17,505",100,18.2,11.9,10.9,13.3,16.4,10.4,10.9,4.2,3.8,"45,235","1,083","65,622","1,738"
,2015,"17,322",100,18.8,13.1,11.3,12.9,16.2,9.8,10.3,4.2,3.4,"42,554","1,027","62,675","1,631"
,2014,"17,198",100,19.7,13.2,12,13.5,16.1,9,9.7,3.6,3.2,"40,843",889,"59,135","1,306"
,2013,"16,723",100,19.2,13,11.8,14.1,16.3,9,9.4,4.2,3.1,"41,664","1,491","60,198","2,535"
,2013,"16,855",100,19.3,14.1,11.5,13.9,16.1,9.1,9.8,3.5,2.6,"40,512","1,341","57,906","1,669"
,2012,"16,559",100,20.1,13.9,10.7,14.2,15.8,9.7,9.5,3.6,2.5,"39,862","1,552","56,936","1,435"
,2011,"16,165",100,21.1,13.6,10.7,14.1,15.7,9.3,9.2,3.6,2.6,"39,074","1,098","57,352","1,535"
,2010,"15,909",100,20.9,13,11.1,14.3,15.5,10.2,9,3.5,2.4,"40,044",963,"56,661","1,284"
,2009,"15,212",100,18,13.2,11.7,14.6,16.3,9.9,10.4,3.3,2.6,"41,457",870,"58,584","1,074"
,2008,"15,056",100,17.8,11.9,12.2,14.5,17.1,10.3,9.9,3.8,2.5,"43,325",911,"58,884","1,013"
,2007,"14,976",100,18.1,12.4,10.3,13.8,17.1,10.6,11,3.9,2.7,"44,656","1,002","61,345","1,103"
,2006,"14,709",100,17.9,12.4,10.7,14.9,16.7,10.1,10.4,3.9,2.9,"43,284",527,"61,282","1,236"
,2005,"14,399",100,18.7,12.4,11.7,13.3,17,10.6,10,3.6,2.7,"43,049",675,"59,422","1,064"
,2004,"14,151",100,19.1,11.3,11.5,14.5,17,10.3,10.5,3.2,2.5,"43,473",655,"58,605","1,024"
,2003,"13,969",100,18.1,12.9,10.5,14.2,16.7,10.6,10.6,3.8,2.5,"43,841",906,"59,534","1,037"
,2002,"13,778",100,17.6,13,10.5,14.8,16.7,10.2,10.5,3.8,2.8,"44,064",954,"60,913","1,168"
BLACK ALONE,2021,"17,698",100,15.9,11.7,10,13.4,17,10.4,11.4,4.6,5.7,"48,297","1,679","70,902","1,943"
,2020,"17,319",100,16.7,11.4,10.6,12.7,17.2,10.3,11.5,4.3,5.3,"48,175","1,327","70,933","2,048"
,2019,"17,054",100,16.3,10.8,11.6,13,16.9,9.9,11.6,4.8,5.2,"48,153","1,284","70,530","1,994"
,2018,"17,167",100,18.1,11.8,11,13.9,16.2,10.4,10,4.7,3.9,"44,627",977,"63,297","1,452"
,2017,"17,019",100,17.8,12.6,11,14.3,15.2,10.5,10.5,4,4.1,"43,509","1,542","64,137","1,493"
,2017,"16,997",100,18,12.2,10.7,14.5,15,11,10.5,4.1,4,"44,496","1,049","64,761","1,500"
,2016,"16,733",100,18.7,11.9,10.9,13.3,16.2,10.3,10.9,4,3.7,"44,585","1,339","64,857","1,731"
,2015,"16,539",100,18.9,13.2,11.3,13.1,16.1,9.7,10.3,4.2,3.3,"42,196",965,"62,157","1,620"
,2014,"16,437",100,19.8,13.2,12.1,13.5,16.2,8.9,9.6,3.5,3.2,"40,551",869,"58,687","1,302"
,2013,"16,009",100,19.7,13.1,11.6,14.2,15.9,9.2,9.3,4,3,"41,151","1,642","58,777","2,271"
,2013,"16,108",100,19.4,14.2,11.5,13.9,16.1,9.2,9.7,3.5,2.6,"40,305","1,395","57,816","1,696"
,2012,"15,872",100,20.3,14.1,10.7,14.3,15.7,9.7,9.3,3.5,2.4,"39,393","1,536","56,436","1,464"
,2011,"15,583",100,21.3,13.6,10.7,14.1,15.7,9.3,9.2,3.6,2.5,"38,909","1,011","57,049","1,595"
,2010,"15,265",100,21.1,13,11.2,14.3,15.5,10.4,8.9,3.4,2.3,"40,005","1,022","55,986","1,282"
,2009,"14,730",100,18,13.3,11.7,14.6,16.3,9.8,10.5,3.3,2.5,"41,247",820,"58,288","1,093"
,2008,"14,595",100,17.9,11.9,12.2,14.5,17.1,10.3,9.8,3.7,2.5,"43,165",915,"58,700","1,033"
,2007,"14,551",100,18.2,12.4,10.4,13.9,17.1,10.6,11,3.9,2.6,"44,427","1,024","61,083","1,121"
,2006,"14,354",100,18.1,12.4,10.8,14.9,16.7,10.1,10.4,3.8,2.9,"43,064",534,"60,789","1,236"
,2005,"14,002",100,18.8,12.5,11.7,13.3,17.1,10.5,9.9,3.5,2.6,"42,915",689,"59,042","1,055"
,2004,"13,809",100,19.2,11.4,11.6,14.5,16.9,10.3,10.4,3.2,2.5,"43,272",740,"58,424","1,041"
,2003,"13,629",100,18.2,12.9,10.5,14.3,16.8,10.5,10.5,3.8,2.5,"43,776",938,"59,261","1,045"
,2002,"13,465",100,17.7,13.1,10.6,14.8,16.7,10.2,10.5,3.8,2.8,"43,836",971,"60,425","1,148"
ASIAN ALONE OR IN COMBINATION,2021,"7,852",100,7.8,5.8,5.2,6.7,13.6,10.2,18.1,12.1,20.6,"101,056","2,708","137,769","4,867"
,2020,"7,555",100,7,5.8,5,7.9,13.6,11.1,16,12.2,21.4,"99,411","3,722","138,316","4,428"
,2019,"7,334",100,6.2,4.6,5.1,8,13,11.8,18.3,12.8,20.2,"102,956","2,910","139,510","4,603"
,2018,"7,416",100,7.9,5.8,5.9,8.2,13,12.2,18.3,10.6,18.2,"93,670","2,623","128,301","3,807"
,2017,"7,124",100,7.8,5.8,5.8,8.8,13.9,12.6,16.7,11.6,16.9,"89,534","2,002","125,899","4,634"
,2017,"7,114",100,8.3,6,5.5,8.8,13.5,12.7,16.3,11.1,17.6,"89,483","2,095","125,691","4,376"
,2016,"6,750",100,8.3,5.8,5.7,7.9,13.6,12.9,17.5,12.2,16.1,"91,251","2,101","120,675","3,291"
,2015,"6,640",100,8.7,6.4,5.9,8.1,15.1,10.9,17.5,11.5,15.8,"87,783","2,632","120,228","4,137"
,2014,"6,333",100,9,5.8,6.9,9.4,13.9,12.3,17.8,11.7,13.3,"85,721","3,733","112,428","3,631"
,2013,"6,160",100,9.2,6.8,5.3,8.5,15.6,11.6,18.7,9.9,14.3,"84,427","6,117","117,752","8,095"
,2013,"6,111",100,9.6,6,7.4,9.1,15.9,13,16.9,9.7,12.3,"78,479","3,492","106,398","4,341"
,2012,"5,872",100,9,5.8,6.4,10,15.9,12.8,17.3,10.1,12.7,"80,606","3,378","108,413","3,683"
,2011,"5,705",100,8.9,7.4,6.4,10.9,14.9,13.1,18.1,9.7,10.6,"78,466","3,106","103,565","4,077"
,2010,"5,550",100,9.1,6.9,7.1,9.1,15.6,12.4,17.2,10.3,12.3,"79,111","3,001","104,249","3,294"
,2009,"4,940",100,9.3,6.2,7,9.4,14.4,12.3,17.5,10.4,13.6,"82,373","2,988","114,067","3,686"
,2008,"4,805",100,8.9,6.3,7.3,9.7,14,11.8,18.3,11.5,12.2,"82,710","2,932","108,893","3,086"
,2007,"4,715",100,7.9,6.3,6.5,8.5,14.9,12.7,19.7,11.1,12.5,"86,292","2,987","110,768","3,116"
,2006,"4,664",100,7.4,5.8,6,9.6,15.7,11.9,18.8,11.8,13,"86,077","3,583","117,906","4,060"
,2005,"4,500",100,8.5,6.2,6.7,7.9,15.2,13.3,18.7,10.2,13.3,"84,901","1,668","111,254","3,194"
,2004,"4,346",100,8.1,6.3,6,9.1,16.6,12.9,19,10,12,"82,602","2,739","109,464","3,399"
,2003,"4,235",100,11.2,6.6,6.1,7.6,15.9,11.7,19.6,10,11.2,"81,605","2,993","102,500","2,900"
,2002,"4,079",100,8.1,6,7.1,10.5,15.1,14,17.3,11,10.9,"78,962","1,965","104,924","3,282"
ASIAN ALONE,2021,"7,276",100,7.8,6,5.3,6.6,13.4,10,17.7,12.2,21.1,"101,418","2,868","138,939","5,144"
,2020,"7,002",100,7,5.8,4.9,8.1,13.4,11.1,15.9,12.5,21.3,"99,622","3,983","137,494","4,300"
,2019,"6,853",100,6.3,4.6,5.1,8,12.5,11.7,18.4,12.8,20.7,"104,041","3,252","141,066","4,705"
,2018,"6,981",100,8,5.6,5.9,8.1,12.9,11.9,18.3,10.8,18.4,"94,079","3,027","129,277","4,013"
,2017,"6,750",100,7.8,5.9,5.6,8.8,13.8,12.7,16.9,11.7,16.9,"89,960","1,965","126,456","4,787"
,2017,"6,735",100,8.3,6.1,5.3,8.6,13.4,12.8,16.4,11.2,17.7,"89,892","2,169","126,116","4,465"
,2016,"6,392",100,8.2,5.6,5.7,7.9,13.4,12.8,17.6,12.3,16.5,"91,938","2,164","121,926","3,380"
,2015,"6,328",100,8.6,6.3,5.9,8.1,15,11,17.7,11.3,16.2,"88,247","3,192","120,554","4,189"
,2014,"6,040",100,9.3,5.7,7.1,9.3,13.7,12.1,17.6,11.8,13.3,"85,112","3,971","111,764","3,618"
,2013,"5,818",100,9.3,7,5.2,7.9,16.2,11.3,18.7,9.9,14.5,"84,324","6,443","117,905","8,558"
,2013,"5,759",100,9.6,6.1,7.5,9.1,15.8,13.1,16.5,10,12.2,"78,128","3,296","105,723","4,419"
,2012,"5,560",100,9.1,5.8,6.4,9.9,15.6,12.9,17.6,10.1,12.6,"81,143","3,676","108,055","3,571"
,2011,"5,374",100,8.8,7.3,6.6,10.8,15,13.1,18.3,9.8,10.4,"78,628","3,112","103,395","4,117"
,2010,"5,212",100,9.3,6.8,7,9,15.2,12.3,17.3,10.4,12.6,"80,023","3,226","105,334","3,474"
,2009,"4,687",100,9.2,6.2,7,9.2,14.2,12.6,17.4,10.5,13.6,"82,875","2,638","114,954","3,842"
,2008,"4,573",100,9.1,6.1,7.4,9.6,14,11.7,18.2,11.6,12.3,"82,798","2,876","108,719","3,119"
,2007,"4,494",100,7.8,6.4,6.5,8.4,14.8,12.4,20,11,12.6,"86,589","2,984","111,366","3,232"
,2006,"4,454",100,7.4,6,6,9.6,15.4,11.8,19,11.5,13.4,"86,533","3,709","118,936","4,210"
,2005,"4,273",100,8.6,6.4,6.7,7.6,15.2,13.4,18.6,10.2,13.4,"84,965","1,629","111,392","3,233"
,2004,"4,123",100,8.1,6.3,6,9.1,16.5,12.8,19.1,9.9,12.3,"82,681","2,890","110,019","3,501"
,2003,"4,040",100,11.3,6.6,5.9,7.5,15.7,11.7,19.6,10.1,11.6,"82,250","2,657","103,328","3,010"
,2002,"3,917",100,7.9,6.1,7.1,10.6,14.8,14,17.2,11.1,11.1,"79,477","2,288","105,786","3,394"
AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION,2021,"2,475",100,15.3,10.8,9.3,12.4,17.3,11.6,12.4,5.4,5.6,"51,282","1,407","73,170","4,864"
,2020,"2,333",100,10.9,12.5,8.5,12.6,18.2,12.7,13.7,5.8,5.1,"56,661","3,812","77,676","4,959"
,2019,"2,350",100,12.6,9.9,10.5,13.7,15.7,12.7,14.1,6,4.9,"54,052","2,141","73,721","4,129"
,2018,"2,481",100,14.8,12,9.5,13.1,18.6,11.1,12.1,4.6,4.2,"50,995","3,795","68,850","3,651"
,2017,"2,514",100,15.3,10.7,11.6,13.3,16.4,12.3,10.7,4,5.7,"49,268","4,737","70,503","3,906"
,2017,"2,510",100,15,11.3,10.9,13.9,15.6,12.3,11.6,4.1,5.3,"49,746","4,343","69,842","3,688"
,2016,"2,443",100,14.7,11.2,10.2,15.4,17,10.8,10.5,4.9,5.3,"48,036","2,891","72,914","4,949"
,2015,"2,436",100,16,11.6,10.2,13.1,17.6,11.4,10.8,5.8,3.5,"48,914","4,047","67,622","4,081"
,2014,"2,247",100,15.6,11.8,11.7,12.6,17.6,10.6,11.8,4.4,3.8,"47,961","2,637","65,331","2,831"
,2013,"2,041",100,18.8,13,9.3,12.6,13.5,12.8,10.7,4.4,5,"46,333","6,523","72,308","11,816"
,2013,"2,119",100,15.3,12.4,12.8,14.4,17.7,10.5,10.8,3.7,2.5,"43,632","2,836","59,190","3,816"
,2012,"2,233",100,17.3,13.2,11.7,14.3,17.7,9.4,9.8,4.3,2.4,"43,345","2,111","59,253","3,049"
,2011,"2,162",100,15.3,13,12.7,14.6,17.2,10.8,9.4,3.5,3.4,"44,317","2,807","61,944","3,047"
,2010,"2,040",100,16.6,12.5,11.5,13,16.9,9.8,11.6,5.4,2.6,"46,273","4,571","62,176","3,408"
,2009,"1,820",100,14.3,11.8,11.6,14.4,17.4,11,11,4.9,3.5,"46,988","2,694","66,602","3,368"
,2008,"1,932",100,13.6,9.9,11.3,15.1,17.3,12.8,12.5,4.5,3,"50,032","2,985","68,030","4,019"
,2007,"1,919",100,14.8,10.9,10.7,13.9,17.4,11.6,12.5,4.6,3.6,"50,128","2,568","66,902","3,158"
,2006,"1,848",100,13.3,12.5,11.2,14.3,17.5,10.3,12,4.6,4.3,"48,933","2,548","67,421","3,341"
,2005,"1,873",100,15.7,9.8,11,13.3,16.9,11.5,13.5,4.8,3.6,"50,363","2,777","68,245","3,022"
,2004,"1,894",100,12.6,11.3,9.4,15.3,17,12.8,13.2,3.9,4.5,"51,692","3,144","73,405","5,050"
,2003,"1,752",100,12.3,12.5,10.4,12.9,16.5,12.5,13.9,4.7,4.3,"53,275",N,"71,205",N
,2002,"1,651",100,13.6,10.9,9.6,15.1,19.6,11.3,11.5,5.3,3.3,"51,385",N,"69,157",N
AMERICAN INDIAN AND ALASKA NATIVE ALONE,2021,"1,430",100,14.8,11.5,9,12.9,17.9,12.1,10.6,5.3,5.9,"51,097","2,532","73,101","7,727"
,2020,"1,377",100,12.3,13.4,8.8,14.8,17.1,12.1,12,3.9,5.6,"51,151","4,705","72,766","6,096"
,2019,"1,329",100,14.2,9.2,10.2,15,14.9,13.6,13.4,5.6,3.9,"52,338","4,100","69,979","4,852"
,2018,"1,331",100,15.5,12.6,9.9,14.1,18.1,10.7,11.2,4.5,3.4,"47,232","5,050","66,456","4,939"
,2017,"1,327",100,17.9,11.3,12.7,13.1,15.5,11.5,8.8,4.2,5.1,"42,448","5,369","66,817","5,809"
,2017,"1,326",100,17.6,12.5,10.4,13.6,14.9,11.5,10.4,3.7,5.3,"45,559","4,637","68,389","6,100"
,2016,"1,314",100,16.1,11.2,10.1,15.3,17.1,10.5,10.9,3.7,5.2,"47,056","2,657","71,508","7,747"
,2015,"1,417",100,17.6,11.5,10.4,13.6,17.4,11.9,8.7,5.1,3.8,"45,662","4,819","64,025","4,075"
,2014,"1,264",100,16.1,10.7,12.4,12.9,17.2,11.6,11.6,4.1,3.5,"47,547","3,232","64,648","3,647"
